City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Praia da Vitória,38.73,-27.07,62.6,82,75,8.39,PT,1592439277
Cockburn Town,21.46,-71.14,82.4,69,40,11.41,TC,1592439277
Rafrāf,37.19,10.18,66.2,82,5,2.24,TN,1592439277
Praia,14.92,-23.51,82.4,54,4,19.46,CV,1592439278
Tanout,14.97,8.89,91.09,11,3,11.88,NE,1592439278
Sambava,-14.27,50.17,67.37,78,21,13.82,MG,1592439278
Xinqing,48.23,129.5,63.37,68,44,1.01,CN,1592439278
Yangi Marg`ilon,40.43,71.72,66.2,48,90,4.7,UZ,1592439279
Black River,18.03,-77.85,86.0,74,40,10.29,JM,1592439279
Seddon,-37.81,144.89,53.01,87,18,8.05,AU,1592439279
‘Āhuimanu,21.44,-157.84,86.0,58,20,11.41,US,1592439279
Sobolevo,54.43,31.9,60.89,92,3,6.4,RU,1592439279
Berlevåg,70.86,29.09,47.44,73,30,6.35,NO,1592439280
Lakes Entrance,-37.88,147.98,46.99,90,0,2.86,AU,1592439280
Nichinan,31.6,131.37,68.0,88,75,1.12,JP,1592439280
Marabba,12.35,32.18,86.2,55,91,13.31,SD,1592439280
Avera,33.19,-82.53,73.4,64,90,3.53,US,1592439281
Cikupa,-6.24,106.51,80.01,83,20,1.12,ID,1592439281
Salamiyah,35.01,37.05,73.36,38,0,8.48,SY,1592439281
York,40.13,-77.0,75.2,57,90,9.17,US,1592439232
Bereda,43.27,-7.54,48.99,99,48,1.99,ES,1592439281
Harboøre,56.62,8.18,61.0,57,85,7.2,DK,1592439282
Vila do Maio,15.13,-23.22,82.4,54,1,19.46,CV,1592439282
Kulhudhuffushi,6.62,73.07,84.27,79,91,15.46,MV,1592439282
Katsuura,35.13,140.3,75.99,71,100,1.99,JP,1592439282
Vedi,39.91,44.72,62.6,72,18,1.12,AM,1592439283
Mbekenyera,-10.0,38.98,67.71,73,50,5.1,TZ,1592439283
Erenhot,43.65,111.98,70.16,49,0,12.91,CN,1592439283
Oleśnica,51.21,17.39,68.0,93,40,2.24,PL,1592439054
Kaohsiung City,22.62,120.31,87.8,66,75,2.24,TW,1592439283
Puerto Carreño,6.19,-67.49,84.2,74,20,3.36,CO,1592439284
Minsk,53.9,27.57,68.0,64,9,6.71,BY,1592439076
Ust'-Omchug,61.15,149.63,66.42,44,66,0.98,RU,1592439284
Tigil',57.8,158.67,61.5,60,100,11.88,RU,1592439284
Dongsheng,39.82,109.98,68.45,45,6,7.09,CN,1592439284
Sitka,57.05,-135.33,55.4,66,90,10.29,US,1592439285
San Policarpo,12.18,125.51,83.62,78,100,7.94,PH,1592439285
Berdigestyakh,62.1,126.7,73.38,37,52,10.67,RU,1592439285
Uruguaiana,-29.75,-57.09,77.0,69,96,13.87,BR,1592439208
Hasaki,35.73,140.83,75.0,78,75,6.93,JP,1592439286
Hualmay,-11.1,-77.61,62.49,83,18,12.03,PE,1592439286
Storslett,69.77,21.02,52.92,61,1,2.3,NO,1592439286
Teya,60.38,92.63,58.98,50,0,3.53,RU,1592439287
Qian’an,44.99,124.06,67.98,60,30,7.27,CN,1592439287
Inhuma,-6.67,-41.71,73.47,71,13,6.89,BR,1592439287
Chernyshevskiy,63.01,112.47,61.77,47,92,5.3,RU,1592439287
Esim,4.87,-2.24,76.71,88,84,12.84,GH,1592439288
Puerto Nariño,-3.77,-70.38,78.8,100,40,2.19,CO,1592439288
Ancud,-41.87,-73.82,50.0,87,75,11.41,CL,1592439288
Samarai,-10.62,150.67,79.81,83,80,17.38,PG,1592439289
Carballo,43.21,-8.69,54.0,90,20,1.9,ES,1592439289
Manokwari,-0.87,134.08,83.3,71,8,5.91,ID,1592439289
Yenagoa,4.92,6.26,76.03,93,100,3.6,NG,1592439289
Bonavista,48.65,-53.11,54.27,63,100,18.14,CA,1592439289
Biak,-0.91,122.88,80.28,79,71,8.23,ID,1592439290
Shimoda,34.67,138.95,73.4,83,75,8.05,JP,1592439290
Najrān,17.49,44.13,82.4,18,40,4.7,SA,1592439290
Havøysund,71.0,24.66,48.2,76,37,11.41,NO,1592439290
Gouré,13.98,10.27,84.99,54,37,15.01,NE,1592439291
Gurupá,-1.41,-51.64,74.91,94,51,3.15,BR,1592439291
Borogontsy,62.67,131.17,76.55,31,0,4.81,RU,1592439291
Florianópolis,-27.61,-48.5,71.01,83,75,11.41,BR,1592439009
‘Ewa Beach,21.32,-158.01,86.0,45,40,16.11,US,1592439292
Kultuk,51.72,103.7,59.88,66,81,1.92,RU,1592439292
Mbaïki,3.87,17.99,69.93,95,99,0.81,CF,1592439292
Inírida,3.87,-67.92,74.82,96,86,2.26,CO,1592439292
Afşin,38.25,36.91,61.03,53,0,1.16,TR,1592439293
Mlalo,-4.93,38.93,68.16,87,74,7.43,TZ,1592439293
Troitsko-Pechorsk,62.71,56.2,39.27,78,31,6.87,RU,1592439293
Atlantic City,39.36,-74.42,66.2,82,90,13.87,US,1592438995
Mattawa,46.74,-119.9,82.0,27,25,3.36,US,1592439039
Uetersen,53.68,9.67,66.2,68,100,6.93,DE,1592439294
Belyy Yar,53.6,91.39,55.4,87,78,2.24,RU,1592439294
Great Falls,47.5,-111.3,59.0,67,75,13.87,US,1592439294
Mahrīz,31.59,54.43,84.2,14,20,6.93,IR,1592439295
Provincia di Ancona,43.55,13.17,66.2,77,1,5.82,IT,1592439296
Kattivākkam,13.22,80.32,88.0,66,40,6.93,IN,1592439296
Grand Gaube,-20.01,57.66,68.0,88,58,7.0,MU,1592439296
Zemio,5.03,25.14,68.7,87,100,1.36,CF,1592439296
San Luis,-33.3,-66.34,47.57,57,82,6.69,AR,1592439297
Morón,-34.65,-58.62,73.99,72,94,7.0,AR,1592439266
Viedma,-40.81,-63.0,48.94,77,62,6.93,AR,1592439297
Outlook,51.5,-107.05,55.0,90,100,11.99,CA,1592439297
Virginia Beach,36.85,-75.98,77.0,83,75,10.29,US,1592439053
São Lourenço do Sul,-31.37,-51.98,64.99,90,50,3.0,BR,1592439298
Yerofey Pavlovich,53.97,121.97,60.12,51,96,7.58,RU,1592439298
Kalabo,-14.97,22.68,51.22,65,0,5.95,ZM,1592439298
Tagusao,9.19,117.81,82.87,76,96,6.53,PH,1592439298
Kaeo,-35.1,173.78,61.0,3,72,10.0,NZ,1592439298
Celestún,20.87,-90.4,82.11,79,10,14.5,MX,1592439299
Teahupoo,-17.83,-149.27,82.4,74,75,8.05,PF,1592439299
Comitancillo,15.08,-91.72,55.99,94,100,1.01,GT,1592439299
Goth Phulji,26.88,67.68,90.97,45,14,15.82,PK,1592439299
Beringovskiy,63.05,179.32,52.18,55,4,5.48,RU,1592439299
Lorengau,-2.02,147.27,84.69,75,22,11.23,PG,1592439300
Ostrovnoy,68.05,39.51,42.64,78,2,9.57,RU,1592439300
Khowst,33.38,69.88,74.5,20,0,3.09,AF,1592439300
San Quintín,30.48,-115.95,67.78,69,0,12.86,MX,1592439301
Plettenberg Bay,-34.05,23.37,61.03,44,0,7.49,ZA,1592439301
Panabá,21.28,-88.27,78.15,89,77,5.01,MX,1592439301
Beira,-19.84,34.84,66.2,88,90,11.41,MZ,1592439301
Corozal,9.32,-75.29,77.13,91,96,5.19,CO,1592439302
Atkarsk,51.87,45.01,63.0,85,0,2.82,RU,1592439302
Lincoln,40.8,-96.67,91.4,41,1,20.8,US,1592439226
Novosheshminsk,55.07,51.23,52.79,91,1,6.53,RU,1592439302
Lixouri,38.2,20.43,68.07,82,0,3.85,GR,1592439303
Zinder,13.81,8.99,89.46,45,61,18.75,NE,1592439303
San Cristobal,7.77,-72.22,87.8,55,20,9.17,VE,1592439303
Plainview,40.78,-73.47,70.0,88,90,9.17,US,1592439079
Orlik,52.52,99.83,54.3,62,51,0.4,RU,1592439304
Merrill,45.18,-89.68,80.6,44,1,9.17,US,1592439304
Gweta,-20.18,25.23,51.01,77,0,12.44,BW,1592439304
Huntsville,34.73,-86.59,78.8,57,75,4.7,US,1592439305
Batemans Bay,-35.72,150.18,60.01,69,68,3.0,AU,1592439213
Raudeberg,61.99,5.14,55.99,94,32,4.38,NO,1592439305
Kataysk,56.29,62.58,45.32,76,68,5.79,RU,1592439306
Kudahuvadhoo,2.67,72.89,83.3,77,70,6.89,MV,1592439306
Santa Cruz de Tenerife,28.47,-16.25,70.0,88,75,13.87,ES,1592439306
Burgeo,47.62,-57.62,53.65,79,98,5.39,CA,1592439306
Casablanca,33.59,-7.62,71.01,88,20,10.29,MA,1592439307
Grand-Santi,4.25,-54.38,74.71,95,91,2.39,GF,1592439307
Strezhevoy,60.73,77.59,48.2,93,75,8.95,RU,1592439307
Mpika,-11.83,31.45,49.64,72,3,8.79,ZM,1592439307
Labuhan,-6.88,112.21,78.28,85,10,6.4,ID,1592439308
Lebyazh'ye,55.27,66.49,46.36,87,88,11.88,RU,1592439308
Makassar,-5.14,119.42,78.8,94,20,4.7,ID,1592439308
Emba,48.83,58.14,64.24,62,0,6.76,KZ,1592439308
Senno,59.53,33.92,60.13,97,21,4.79,RU,1592439309
Tautira,-17.73,-149.15,82.4,74,75,8.05,PF,1592439309
Reitz,-27.8,28.43,35.47,93,9,7.36,ZA,1592439310
Assiut,27.18,31.18,87.8,43,0,11.41,EG,1592439310
Pangnirtung,66.15,-65.71,37.74,77,71,2.71,CA,1592439310
Tottori-shi,35.5,134.23,71.6,68,90,8.05,JP,1592439310
Coyhaique,-45.58,-72.07,41.0,86,40,5.82,CL,1592439310
Arica,-18.48,-70.3,62.6,77,59,11.41,CL,1592439311
Talnakh,69.49,88.4,41.0,65,100,4.47,RU,1592439311
Catia La Mar,10.6,-67.03,73.0,71,33,11.41,VE,1592439311
Hue,16.47,107.6,80.6,78,40,3.36,VN,1592439123
Khasan,42.43,130.64,58.98,91,100,8.46,RU,1592439312
San Isidro,-12.12,-77.05,64.4,77,90,9.17,PE,1592439312
